post_id,created_at,text,impressions,likes,replies,reposts,bookmarks,quotes,url,media_type,followers_count
1900000000000109275,2025-02-01 21:25:00,デザインの勉強時間を捻出する方法。私は通勤電車の30分と昼休みの20分を固定枠にしています。すきま時間の積み重ねが一番強い。,2006,34,3,1,10,0,https://x.com/sample_creator/status/1900000000000109275,image,54
1900000000000115382,2025-02-03 20:12:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",1908,36,3,4,10,0,https://x.com/sample_creator/status/1900000000000115382,,54
1900000000000120063,2025-02-04 07:51:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",273,7,0,0,2,0,https://x.com/sample_creator/status/1900000000000120063,,54
1900000000000122027,2025-02-05 08:34:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,360,9,1,0,2,0,https://x.com/sample_creator/status/1900000000000122027,image,56
1900000000000130980,2025-02-06 09:04:00,バナー模写の正しいやり方を解説します。ただ真似るだけじゃなく「なぜこの配置なのか」を言語化するのが上達の近道。,715,13,2,1,3,0,https://x.com/sample_creator/status/1900000000000130980,,57
1900000000000138649,2025-02-07 08:36:00,配色に迷ったら60:30:10の法則。ベース60%、メイン30%、アクセント10%。これだけで一気に整います。,612,12,1,0,3,0,https://x.com/sample_creator/status/1900000000000138649,image,60
1900000000000140536,2025-02-09 22:11:00,デザインの勉強時間を捻出する方法。私は通勤電車の30分と昼休みの20分を固定枠にしています。すきま時間の積み重ねが一番強い。,1794,39,2,3,11,0,https://x.com/sample_creator/status/1900000000000140536,,60
1900000000000144675,2025-02-10 09:04:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",1620,30,2,1,9,0,https://x.com/sample_creator/status/1900000000000144675,,61
1900000000000152935,2025-02-11 20:36:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",225,9,1,0,2,0,https://x.com/sample_creator/status/1900000000000152935,,61
1900000000000156659,2025-02-12 20:01:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,896,32,2,2,9,0,https://x.com/sample_creator/status/1900000000000156659,,62
1900000000000157694,2025-02-13 19:46:00,バナー模写の正しいやり方を解説します。ただ真似るだけじゃなく「なぜこの配置なのか」を言語化するのが上達の近道。,2940,49,8,3,14,0,https://x.com/sample_creator/status/1900000000000157694,image,67
1900000000000166667,2025-02-14 08:42:00,配色に迷ったら60:30:10の法則。ベース60%、メイン30%、アクセント10%。これだけで一気に整います。,1357,23,1,0,6,0,https://x.com/sample_creator/status/1900000000000166667,image,67
1900000000000172805,2025-02-16 07:33:00,デザインの勉強時間を捻出する方法。私は通勤電車の30分と昼休みの20分を固定枠にしています。すきま時間の積み重ねが一番強い。,2204,38,4,5,11,1,https://x.com/sample_creator/status/1900000000000172805,,68
1900000000000182125,2025-02-17 08:24:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",680,17,1,0,5,0,https://x.com/sample_creator/status/1900000000000182125,,71
1900000000000187158,2025-02-18 21:08:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",580,10,1,0,3,0,https://x.com/sample_creator/status/1900000000000187158,,73
1900000000000191504,2025-02-19 22:15:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,1144,26,2,2,7,0,https://x.com/sample_creator/status/1900000000000191504,,76
1900000000000193692,2025-02-20 07:59:00,バナー模写の正しいやり方を解説します。ただ真似るだけじゃなく「なぜこの配置なのか」を言語化するのが上達の近道。,1218,42,8,6,12,1,https://x.com/sample_creator/status/1900000000000193692,,80
1900000000000260064,2025-02-20 08:31:00,仕事から帰って勉強する気力がない日、ありますよね。私も今日はそうでした。そんな日は5分だけ参考デザインを眺めて寝ます。ゼロじゃなければOK。,1102,38,4,2,11,0,https://x.com/sample_creator/status/1900000000000260064,,98
1900000000000269410,2025-02-21 20:13:00,「未経験からじゃ無理」って言われると落ち込みますよね。でも実際に転身した人はみんな未経験からスタートしてる。大丈夫。,3157,77,7,2,23,0,https://x.com/sample_creator/status/1900000000000269410,image,99
1900000000000202980,2025-02-22 12:38:00,配色に迷ったら60:30:10の法則。ベース60%、メイン30%、アクセント10%。これだけで一気に整います。,1344,28,5,3,8,0,https://x.com/sample_creator/status/1900000000000202980,,82
1900000000000274759,2025-02-23 07:36:00,SNSで同世代の活躍を見て焦る気持ち、痛いほどわかる。でも比べる相手は昨日の自分だけでいい。,3870,86,9,10,25,2,https://x.com/sample_creator/status/1900000000000274759,image,105
1900000000000211159,2025-02-23 21:15:00,デザインの勉強時間を捻出する方法。私は通勤電車の30分と昼休みの20分を固定枠にしています。すきま時間の積み重ねが一番強い。,1450,25,3,3,7,0,https://x.com/sample_creator/status/1900000000000211159,image,82
1900000000000217064,2025-02-24 21:36:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",960,16,1,2,4,0,https://x.com/sample_creator/status/1900000000000217064,,83
1900000000000284138,2025-02-25 07:54:00,勉強が続かなくて自己嫌悪になる…そんな自分を責めないでください。続かない仕組みが悪いだけで、あなたが悪いわけじゃない。,4368,84,6,2,25,0,https://x.com/sample_creator/status/1900000000000284138,image,105
1900000000000222680,2025-02-25 20:43:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",2009,49,4,5,14,1,https://x.com/sample_creator/status/1900000000000222680,,87
1900000000000227794,2025-02-26 07:35:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,1150,46,5,2,13,0,https://x.com/sample_creator/status/1900000000000227794,,89
1900000000000233085,2025-02-27 09:17:00,バナー模写の正しいやり方を解説します。ただ真似るだけじゃなく「なぜこの配置なのか」を言語化するのが上達の近道。,875,35,4,2,10,0,https://x.com/sample_creator/status/1900000000000233085,,89
1900000000000293959,2025-02-27 22:16:00,会社で疲れ果てて何もできない夜。そんな日々でも少しずつ前に進んでる。同じ状況の人、一緒にがんばりましょう。,1886,41,4,1,12,0,https://x.com/sample_creator/status/1900000000000293959,,109
1900000000000236527,2025-03-01 20:32:00,配色に迷ったら60:30:10の法則。ベース60%、メイン30%、アクセント10%。これだけで一気に整います。,990,30,4,1,9,0,https://x.com/sample_creator/status/1900000000000236527,,89
1900000000000297000,2025-03-01 22:27:00,仕事から帰って勉強する気力がない日、ありますよね。私も今日はそうでした。そんな日は5分だけ参考デザインを眺めて寝ます。ゼロじゃなければOK。,2475,55,6,6,16,1,https://x.com/sample_creator/status/1900000000000297000,image,112
1900000000000243501,2025-03-02 08:27:00,デザインの勉強時間を捻出する方法。私は通勤電車の30分と昼休みの20分を固定枠にしています。すきま時間の積み重ねが一番強い。,930,30,2,1,9,0,https://x.com/sample_creator/status/1900000000000243501,image,91
1900000000000302844,2025-03-02 20:38:00,「未経験からじゃ無理」って言われると落ち込みますよね。でも実際に転身した人はみんな未経験からスタートしてる。大丈夫。,1512,42,4,5,12,1,https://x.com/sample_creator/status/1900000000000302844,image,116
1900000000000251159,2025-03-03 21:17:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",595,17,3,0,5,0,https://x.com/sample_creator/status/1900000000000251159,,92
1900000000000252565,2025-03-04 09:17:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",1160,29,4,2,8,0,https://x.com/sample_creator/status/1900000000000252565,,94
1900000000000308774,2025-03-04 20:05:00,SNSで同世代の活躍を見て焦る気持ち、痛いほどわかる。でも比べる相手は昨日の自分だけでいい。,855,19,1,1,5,0,https://x.com/sample_creator/status/1900000000000308774,,119
1900000000000255336,2025-03-05 20:25:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,594,11,1,0,3,0,https://x.com/sample_creator/status/1900000000000255336,,96
1900000000000317018,2025-03-06 21:43:00,勉強が続かなくて自己嫌悪になる…そんな自分を責めないでください。続かない仕組みが悪いだけで、あなたが悪いわけじゃない。,2905,83,10,11,24,2,https://x.com/sample_creator/status/1900000000000317018,,120
1900000000000412455,2025-03-07 09:00:00,1年前の私は、残業続きで終電帰りの毎日でした。このままでいいのかと不安だった。あの日デザインの勉強を始めたことが、今の私のきっかけです。,2378,58,7,3,17,0,https://x.com/sample_creator/status/1900000000000412455,,184
1900000000000326463,2025-03-08 22:10:00,会社で疲れ果てて何もできない夜。そんな日々でも少しずつ前に進んでる。同じ状況の人、一緒にがんばりましょう。,3920,98,9,12,29,2,https://x.com/sample_creator/status/1900000000000326463,,124
1900000000000330725,2025-03-10 08:31:00,仕事から帰って勉強する気力がない日、ありますよね。私も今日はそうでした。そんな日は5分だけ参考デザインを眺めて寝ます。ゼロじゃなければOK。,696,24,2,2,7,0,https://x.com/sample_creator/status/1900000000000330725,,127
1900000000000415331,2025-03-10 08:49:00,実は一度、勉強を3ヶ月サボって挫折しかけました。再開できたのは「完璧じゃなくていい」と思えたから。挫折の話も隠さず発信していきます。,2793,57,7,8,17,1,https://x.com/sample_creator/status/1900000000000415331,image,187
1900000000000334910,2025-03-11 22:14:00,「未経験からじゃ無理」って言われると落ち込みますよね。でも実際に転身した人はみんな未経験からスタートしてる。大丈夫。,1750,70,8,4,21,0,https://x.com/sample_creator/status/1900000000000334910,,133
1900000000000342875,2025-03-13 08:41:00,SNSで同世代の活躍を見て焦る気持ち、痛いほどわかる。でも比べる相手は昨日の自分だけでいい。,2880,90,10,8,27,1,https://x.com/sample_creator/status/1900000000000342875,,140
1900000000000419580,2025-03-14 08:07:00,初めて作ったバナーを見返したら酷すぎて笑いました。でもこの積み重ねが今につながってる。過去の自分に感謝。,3104,97,6,11,29,2,https://x.com/sample_creator/status/1900000000000419580,,187
1900000000000351487,2025-03-15 22:03:00,勉強が続かなくて自己嫌悪になる…そんな自分を責めないでください。続かない仕組みが悪いだけで、あなたが悪いわけじゃない。,5088,96,13,13,28,2,https://x.com/sample_creator/status/1900000000000351487,image,146
1900000000000359792,2025-03-17 09:17:00,会社で疲れ果てて何もできない夜。そんな日々でも少しずつ前に進んでる。同じ状況の人、一緒にがんばりましょう。,3612,86,10,10,25,2,https://x.com/sample_creator/status/1900000000000359792,image,153
1900000000000429308,2025-03-17 20:12:00,1年前の私は、残業続きで終電帰りの毎日でした。このままでいいのかと不安だった。あの日デザインの勉強を始めたことが、今の私のきっかけです。,3350,134,8,14,40,2,https://x.com/sample_creator/status/1900000000000429308,,193
1900000000000364711,2025-03-19 12:58:00,仕事から帰って勉強する気力がない日、ありますよね。私も今日はそうでした。そんな日は5分だけ参考デザインを眺めて寝ます。ゼロじゃなければOK。,1380,30,4,1,9,0,https://x.com/sample_creator/status/1900000000000364711,image,155
1900000000000367031,2025-03-20 08:39:00,「未経験からじゃ無理」って言われると落ち込みますよね。でも実際に転身した人はみんな未経験からスタートしてる。大丈夫。,2014,53,5,2,15,0,https://x.com/sample_creator/status/1900000000000367031,,155
1900000000000432037,2025-03-21 19:53:00,実は一度、勉強を3ヶ月サボって挫折しかけました。再開できたのは「完璧じゃなくていい」と思えたから。挫折の話も隠さず発信していきます。,9454,163,25,13,48,2,https://x.com/sample_creator/status/1900000000000432037,,203
1900000000000374709,2025-03-22 13:04:00,SNSで同世代の活躍を見て焦る気持ち、痛いほどわかる。でも比べる相手は昨日の自分だけでいい。,4437,87,9,4,26,0,https://x.com/sample_creator/status/1900000000000374709,image,161
1900000000000376029,2025-03-24 20:54:00,勉強が続かなくて自己嫌悪になる…そんな自分を責めないでください。続かない仕組みが悪いだけで、あなたが悪いわけじゃない。,4459,91,4,6,27,1,https://x.com/sample_creator/status/1900000000000376029,image,167
1900000000000441854,2025-03-25 19:59:00,初めて作ったバナーを見返したら酷すぎて笑いました。でもこの積み重ねが今につながってる。過去の自分に感謝。,7245,161,27,16,48,3,https://x.com/sample_creator/status/1900000000000441854,,206
1900000000000385976,2025-03-26 21:27:00,会社で疲れ果てて何もできない夜。そんな日々でも少しずつ前に進んでる。同じ状況の人、一緒にがんばりましょう。,3080,55,6,3,16,0,https://x.com/sample_creator/status/1900000000000385976,,167
1900000000000475119,2025-03-27 13:14:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,3264,102,9,6,30,1,https://x.com/sample_creator/status/1900000000000475119,,233
1900000000000447423,2025-03-28 19:45:00,1年前の私は、残業続きで終電帰りの毎日でした。このままでいいのかと不安だった。あの日デザインの勉強を始めたことが、今の私のきっかけです。,7958,173,23,19,51,3,https://x.com/sample_creator/status/1900000000000447423,,206
1900000000000478077,2025-03-28 22:04:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,7590,138,10,7,41,1,https://x.com/sample_creator/status/1900000000000478077,image,237
1900000000000392483,2025-03-28 22:13:00,仕事から帰って勉強する気力がない日、ありますよね。私も今日はそうでした。そんな日は5分だけ参考デザインを眺めて寝ます。ゼロじゃなければOK。,2706,82,13,10,24,2,https://x.com/sample_creator/status/1900000000000392483,,167
1900000000000393927,2025-03-29 08:11:00,「未経験からじゃ無理」って言われると落ち込みますよね。でも実際に転身した人はみんな未経験からスタートしてる。大丈夫。,2436,87,6,7,26,1,https://x.com/sample_creator/status/1900000000000393927,,171
1900000000000487672,2025-03-29 20:48:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,2352,49,8,3,14,0,https://x.com/sample_creator/status/1900000000000487672,,238
1900000000000400290,2025-03-31 08:59:00,SNSで同世代の活躍を見て焦る気持ち、痛いほどわかる。でも比べる相手は昨日の自分だけでいい。,3024,72,7,9,21,1,https://x.com/sample_creator/status/1900000000000400290,,177
1900000000000488903,2025-03-31 22:04:00,続けるコツは意志力に頼らないこと。時間を固定し、環境を整え、記録を公開する。仕組みで解決するのが正解だと思う。,3300,55,5,8,16,1,https://x.com/sample_creator/status/1900000000000488903,image,240
1900000000000453748,2025-04-01 09:01:00,実は一度、勉強を3ヶ月サボって挫折しかけました。再開できたのは「完璧じゃなくていい」と思えたから。挫折の話も隠さず発信していきます。,4242,101,10,6,30,1,https://x.com/sample_creator/status/1900000000000453748,image,210
1900000000000491971,2025-04-01 22:25:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,4773,111,7,3,33,0,https://x.com/sample_creator/status/1900000000000491971,,247
1900000000000405423,2025-04-02 08:00:00,勉強が続かなくて自己嫌悪になる…そんな自分を責めないでください。続かない仕組みが悪いだけで、あなたが悪いわけじゃない。,1222,26,4,0,7,0,https://x.com/sample_creator/status/1900000000000405423,image,178
1900000000000500187,2025-04-03 12:41:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,1408,44,3,5,13,1,https://x.com/sample_creator/status/1900000000000500187,,247
1900000000000509243,2025-04-04 08:06:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,5940,135,20,6,40,1,https://x.com/sample_creator/status/1900000000000509243,,248
1900000000000407547,2025-04-04 21:32:00,会社で疲れ果てて何もできない夜。そんな日々でも少しずつ前に進んでる。同じ状況の人、一緒にがんばりましょう。,702,27,5,1,8,0,https://x.com/sample_creator/status/1900000000000407547,,182
1900000000000454914,2025-04-05 20:42:00,初めて作ったバナーを見返したら酷すぎて笑いました。でもこの積み重ねが今につながってる。過去の自分に感謝。,3720,62,5,4,18,0,https://x.com/sample_creator/status/1900000000000454914,,216
1900000000000647266,2025-04-06 19:40:00,今日もリプで交流してくださった皆さん、ありがとうございます！デザイン仲間が増えるのが一番嬉しい。,1876,67,12,2,20,0,https://x.com/sample_creator/status/1900000000000647266,,382
1900000000000512183,2025-04-06 21:18:00,続けるコツは意志力に頼らないこと。時間を固定し、環境を整え、記録を公開する。仕組みで解決するのが正解だと思う。,3978,102,14,12,30,2,https://x.com/sample_creator/status/1900000000000512183,,256
1900000000000520564,2025-04-07 19:49:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,3640,130,25,8,39,1,https://x.com/sample_creator/status/1900000000000520564,image,265
1900000000000523189,2025-04-08 09:10:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,2800,70,6,2,21,0,https://x.com/sample_creator/status/1900000000000523189,image,266
1900000000000654407,2025-04-08 19:39:00,【質問】皆さんが勉強でいちばん苦労していることは何ですか？リプで教えてください。今後の発信の参考にします。,2088,58,7,5,17,1,https://x.com/sample_creator/status/1900000000000654407,,383
1900000000000463714,2025-04-08 22:15:00,1年前の私は、残業続きで終電帰りの毎日でした。このままでいいのかと不安だった。あの日デザインの勉強を始めたことが、今の私のきっかけです。,8385,195,22,6,58,1,https://x.com/sample_creator/status/1900000000000463714,,219
1900000000000525418,2025-04-10 08:30:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,4515,105,12,10,31,2,https://x.com/sample_creator/status/1900000000000525418,,266
1900000000000656700,2025-04-10 21:25:00,朝活仲間を募集します。平日朝7時から30分、一緒に作業しませんか？参加したい方はリプください。,2788,82,11,4,24,0,https://x.com/sample_creator/status/1900000000000656700,,386
1900000000000531138,2025-04-11 21:48:00,続けるコツは意志力に頼らないこと。時間を固定し、環境を整え、記録を公開する。仕組みで解決するのが正解だと思う。,5928,152,27,5,45,1,https://x.com/sample_creator/status/1900000000000531138,image,270
1900000000000468700,2025-04-12 13:12:00,実は一度、勉強を3ヶ月サボって挫折しかけました。再開できたのは「完璧じゃなくていい」と思えたから。挫折の話も隠さず発信していきます。,8372,161,19,15,48,3,https://x.com/sample_creator/status/1900000000000468700,image,230
1900000000000535379,2025-04-13 19:37:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,5376,128,10,6,38,1,https://x.com/sample_creator/status/1900000000000535379,,272
1900000000000661861,2025-04-13 19:46:00,今日もリプで交流してくださった皆さん、ありがとうございます！デザイン仲間が増えるのが一番嬉しい。,860,20,3,1,6,0,https://x.com/sample_creator/status/1900000000000661861,,390
1900000000000537356,2025-04-14 09:20:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,3827,89,12,11,26,2,https://x.com/sample_creator/status/1900000000000537356,,279
1900000000000664071,2025-04-15 19:52:00,【質問】皆さんが勉強でいちばん苦労していることは何ですか？リプで教えてください。今後の発信の参考にします。,2911,71,10,5,21,1,https://x.com/sample_creator/status/1900000000000664071,,393
1900000000000833469,2025-04-16 08:18:00,ご報告。初めてポートフォリオを公開したところ、3件の感想をいただきました。小さな一歩だけど嬉しい。,10380,173,23,21,51,4,https://x.com/sample_creator/status/1900000000000833469,image,508
1900000000000546035,2025-04-16 21:49:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,9263,157,17,9,47,1,https://x.com/sample_creator/status/1900000000000546035,,286
1900000000000668334,2025-04-17 20:24:00,朝活仲間を募集します。平日朝7時から30分、一緒に作業しませんか？参加したい方はリプください。,4747,101,6,7,30,1,https://x.com/sample_creator/status/1900000000000668334,image,397
1900000000000548352,2025-04-17 20:32:00,続けるコツは意志力に頼らないこと。時間を固定し、環境を整え、記録を公開する。仕組みで解決するのが正解だと思う。,2912,112,17,11,33,2,https://x.com/sample_creator/status/1900000000000548352,,287
1900000000000549691,2025-04-18 22:22:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,3096,86,11,10,25,2,https://x.com/sample_creator/status/1900000000000549691,image,294
1900000000000834899,2025-04-19 21:29:00,フォロワー500人を突破しました！いつも見てくださる皆さんのおかげです。ありがとうございます。,11124,309,53,19,92,3,https://x.com/sample_creator/status/1900000000000834899,image,516
1900000000000674171,2025-04-20 08:23:00,今日もリプで交流してくださった皆さん、ありがとうございます！デザイン仲間が増えるのが一番嬉しい。,2520,90,8,8,27,1,https://x.com/sample_creator/status/1900000000000674171,,404
1900000000000557936,2025-04-20 12:41:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,4260,142,16,18,42,3,https://x.com/sample_creator/status/1900000000000557936,,301
1900000000000565626,2025-04-21 12:50:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,7956,156,10,7,46,1,https://x.com/sample_creator/status/1900000000000565626,,308
1900000000000678941,2025-04-22 21:21:00,【質問】皆さんが勉強でいちばん苦労していることは何ですか？リプで教えてください。今後の発信の参考にします。,3403,83,6,4,24,0,https://x.com/sample_creator/status/1900000000000678941,image,406
1900000000000840961,2025-04-23 12:52:00,毎日投稿90日達成しました。継続は裏切らない。,4150,83,6,3,24,0,https://x.com/sample_creator/status/1900000000000840961,,517
1900000000000573187,2025-04-23 20:32:00,続けるコツは意志力に頼らないこと。時間を固定し、環境を整え、記録を公開する。仕組みで解決するのが正解だと思う。,3904,122,7,7,36,1,https://x.com/sample_creator/status/1900000000000573187,image,314
1900000000000681532,2025-04-24 22:11:00,朝活仲間を募集します。平日朝7時から30分、一緒に作業しませんか？参加したい方はリプください。,1344,28,2,2,8,0,https://x.com/sample_creator/status/1900000000000681532,,407
1900000000000574205,2025-04-24 22:25:00,デザインで一番大切なのは「誰に何を伝えるか」。ツールの使い方より先に、目的を考える習慣をつけるべきだと思う。,7946,137,16,5,41,1,https://x.com/sample_creator/status/1900000000000574205,image,319
1900000000000842463,2025-04-26 08:17:00,先日作ったバナーがコンペで入選しました。未経験から8ヶ月、続けてきてよかった。,12604,274,22,22,82,4,https://x.com/sample_creator/status/1900000000000842463,,522
1900000000000583372,2025-04-26 21:58:00,スキル習得で重要なのは、インプット2割・アウトプット8割。作らないと上達しません。これが本質です。,2150,50,4,4,15,0,https://x.com/sample_creator/status/1900000000000583372,image,322
1900000000000592313,2025-04-27 07:31:00,「センスがないから無理」は勘違い。デザインは知識とパターンの積み重ねで、センスは後からついてくる。学べば誰でも一定レベルには到達できます。,5460,156,22,9,46,1,https://x.com/sample_creator/status/1900000000000592313,image,326
1900000000000687367,2025-04-27 13:17:00,今日もリプで交流してくださった皆さん、ありがとうございます！デザイン仲間が増えるのが一番嬉しい。,5664,96,7,4,28,0,https://x.com/sample_creator/status/1900000000000687367,image,412
